seller_id,orders_6m,active_days_6m,revenue_6m,avg_review_6m,is_risk,risk_stage
128f9bfbe4c7d5185033914b1de3d39a,11,11,1071.59,4.75,False,normal
12a8eb0f8d1cd3270695bf2a99f55966,2,2,397.0,3.5,False,normal
12b9676b00f60f3b700e83af21824c0e,46,46,9232.0,4.630434782608695,False,normal
12c2ed9cded6138cf0c75f525f565fc7,3,3,214.97,4.333333333333333,False,normal
13074f016982ff2bd6c58ced8682f000,11,11,1609.0,4.083333333333333,False,normal
131fcb0a0c9a47bba4474aacff0f14b7,4,4,369.8,4.0,False,normal
1336efc61c316ddf92c899eb817f7cae,25,25,1462.51,3.689655172413793,False,normal
134285d1f41da5c13a756ee8142c8a4e,3,3,1572.6999999999998,2.75,False,normal
134a288e7de827ec5ec62e3ec9c3a295,9,9,877.45,4.777777777777778,False,normal
134b867a0f7f8bbe6abf10f91874891e,1,1,789.89,4.0,False,normal
13511db12ac61e2f89c53b72a944a60b,6,6,798.0,3.5,False,normal
1352e06ae67b410cdae0b2a22361167b,4,4,696.0,2.3333333333333335,False,normal
1354d51653f645349064725ed204e85e,7,6,1050.0,3.625,False,normal
138dbe45fc62f1e244378131a6801526,49,49,1125.56,3.9827586206896552,False,normal
139157dd4daa45c25b0807ffff348363,1,1,29.9,4.0,True,almost_churn
13c2ed7698b3ca92dad49e849219da59,6,6,430.61,4.857142857142857,False,normal
13d058e4eeac2ce8217660b2f8a05812,13,13,2119.87,4.076923076923077,False,normal
13d95f0f6f73943d4ceffad0fc2cd32c,1,1,249.99,3.0,False,normal
13dd308f81fea30cc670c656b2b46cc3,3,3,117.69999999999999,5.0,True,low_active
13e85aac53340018b40c2af68001b7e0,1,1,17.8,5.0,True,almost_churn
13f57c12a00ed4610db646b913a7f5c6,6,6,576.3,4.75,False,normal
13fa2a6c6b9d0f43cb588d7c82117a12,9,9,4987.0,4.090909090909091,False,normal
141440cad9341e553f8401c574a2aa38,11,11,1288.2,4.166666666666667,False,normal
1430239a858e7682bbc43b20758af153,11,11,400.89,4.0,False,normal
1444c08e64d55fb3c25f0f09c07ffcf2,1,1,2749.0,1.0,False,normal
1464afc72f696af775557a821c2e253f,12,12,421.96999999999997,3.6923076923076925,False,normal
